iter	Passed	Remaining
0	17	4890
1	35	4996
2	55	5104
3	98	6794
4	199	10976
5	244	11176
6	301	11760
7	334	11363
8	354	10661
9	391	10560
10	428	10484
11	473	10576
12	523	10752
13	560	10645
14	630	11132
15	648	10707
16	724	11201
17	740	10776
18	754	10366
19	768	9989
20	781	9644
21	796	9336
22	810	9053
23	825	8806
24	838	8557
25	852	8326
26	865	8110
27	878	7906
28	891	7712
29	904	7534
30	916	7364
31	929	7203
32	942	7052
33	954	6907
34	967	6771
35	980	6643
36	992	6521
37	1006	6407
38	1018	6293
39	1031	6186
40	1043	6083
41	1056	5986
42	1069	5895
43	1082	5805
44	1095	5722
45	1108	5640
46	1121	5561
47	1134	5484
48	1147	5410
49	1160	5336
50	1173	5269
51	1186	5202
52	1199	5137
53	1212	5074
54	1225	5013
55	1237	4950
56	1249	4889
57	1262	4831
58	1275	4776
59	1287	4721
60	1300	4668
61	1313	4617
62	1326	4567
63	1339	4520
64	1352	4475
65	1365	4428
66	1378	4383
67	1391	4338
68	1404	4294
69	1417	4252
70	1430	4210
71	1442	4168
72	1455	4127
73	1468	4087
74	1480	4047
75	1493	4008
76	1506	3970
77	1518	3933
78	1532	3898
79	1545	3862
80	1557	3825
81	1570	3792
82	1583	3758
83	1596	3725
84	1609	3691
85	1621	3657
86	1634	3624
87	1646	3592
88	1659	3561
89	1672	3530
90	1685	3500
91	1698	3470
92	1711	3440
93	1723	3411
94	1736	3382
95	1749	3353
96	1762	3325
97	1775	3296
98	1788	3269
99	1800	3241
100	1814	3215
101	1827	3188
102	1840	3161
103	1852	3135
104	1865	3109
105	1878	3084
106	1891	3058
107	1905	3034
108	1918	3009
109	1932	2985
110	1945	2961
111	1957	2936
112	1970	2912
113	1983	2888
114	1996	2864
115	2009	2840
116	2022	2817
117	2034	2793
118	2047	2770
119	2060	2747
120	2073	2724
121	2085	2701
122	2098	2678
123	2111	2656
124	2124	2633
125	2136	2611
126	2149	2589
127	2162	2567
128	2175	2546
129	2188	2524
130	2200	2502
131	2212	2481
132	2226	2460
133	2238	2439
134	2251	2418
135	2264	2397
136	2277	2377
137	2289	2356
138	2302	2335
139	2315	2315
140	2328	2295
141	2341	2275
142	2354	2255
143	2367	2235
144	2381	2216
145	2394	2197
146	2406	2177
147	2419	2157
148	2432	2138
149	2445	2119
150	2458	2100
151	2471	2081
152	2484	2062
153	2497	2043
154	2510	2024
155	2523	2006
156	2536	1987
157	2550	1969
158	2563	1950
159	2576	1932
160	2589	1914
161	2602	1895
162	2615	1877
163	2628	1859
164	2641	1840
165	2653	1822
166	2666	1804
167	2679	1786
168	2692	1768
169	2705	1750
170	2718	1732
171	2731	1715
172	2745	1697
173	2758	1680
174	2771	1662
175	2784	1645
176	2797	1627
177	2810	1610
178	2823	1593
179	2836	1576
180	2850	1558
181	2862	1541
182	2874	1523
183	2887	1506
184	2901	1489
185	2913	1472
186	2926	1455
187	2938	1438
188	2951	1421
189	2964	1404
190	2977	1387
191	2990	1370
192	3004	1354
193	3016	1337
194	3030	1320
195	3043	1304
196	3055	1287
197	3068	1270
198	3080	1254
199	3094	1237
200	3107	1221
201	3120	1204
202	3133	1188
203	3146	1172
204	3158	1155
205	3171	1139
206	3184	1122
207	3197	1106
208	3210	1090
209	3223	1074
210	3235	1058
211	3248	1041
212	3261	1025
213	3273	1009
214	3286	993
215	3299	977
216	3311	961
217	3324	945
218	3337	929
219	3350	913
220	3363	897
221	3376	882
222	3389	866
223	3402	850
224	3415	834
225	3428	819
226	3441	803
227	3453	787
228	3466	772
229	3479	756
230	3492	740
231	3505	725
232	3518	709
233	3531	694
234	3544	678
235	3558	663
236	3570	647
237	3584	632
238	3597	617
239	3610	601
240	3623	586
241	3635	570
242	3648	555
243	3661	540
244	3674	524
245	3686	509
246	3699	494
247	3712	479
248	3725	463
249	3737	448
250	3750	433
251	3763	418
252	3776	403
253	3789	387
254	3802	372
255	3815	357
256	3829	342
257	3842	327
258	3855	312
259	3868	297
260	3881	282
261	3894	267
262	3907	252
263	3920	237
264	3933	222
265	3946	207
266	3959	192
267	3972	177
268	3986	163
269	3998	148
270	4010	133
271	4023	118
272	4036	103
273	4049	88
274	4062	73
275	4075	59
276	4088	44
277	4100	29
278	4113	14
279	4126	0
